Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.516667,-1.987997,-0.979837,0.000000,-2.347564,-1.099037,-0.001844,2.799416,1.748099,-18.128284,0.302375,0.145735,-1.886707,30.603100,-23.549301,-6.102745
0.533333,-2.437285,-1.199028,0.000000,-2.349396,-1.101061,-0.001898,2.831875,1.782014,-18.609901,0.308070,0.148719,-1.948487,31.968239,-24.277895,-6.634434
0.550000,-2.621244,-1.046011,0.000000,-2.354802,-1.099953,-0.001937,2.859212,1.816149,-19.084070,0.316864,0.153614,-2.009794,33.371845,-25.005539,-7.197239
0.566667,-2.177140,-1.000181,0.000000,-2.351207,-1.097921,-0.001993,2.892854,1.852592,-19.556217,0.327441,0.160428,-2.071493,34.800301,-25.732927,-7.780894
0.583333,-2.006598,-1.125594,0.000000,-2.344264,-1.098478,-0.002031,2.929530,1.884838,-20.020529,0.339352,0.164709,-2.132517,36.264927,-26.457180,-8.397626
0.600000,-2.716932,-1.083411,0.000000,-2.351705,-1.098180,-0.002079,2.950786,1.917359,-20.477446,0.347177,0.169238,-2.194358,37.786041,-27.168501,-9.064818
0.616667,-2.346977,-1.174722,0.000000,-2.351529,-1.099685,-0.002129,2.978390,1.947604,-20.928013,0.359868,0.175125,-2.256108,39.342365,-27.874645,-9.761436
0.633333,-2.161852,-1.077157,0.000000,-2.347714,-1.099228,-0.002167,3.003304,1.977224,-21.373268,0.369508,0.180104,-2.317193,40.934296,-28.579744,-10.491309
0.650000,-2.519521,-1.079813,0.000000,-2.351149,-1.098863,-0.002202,3.020365,2.005059,-21.812885,0.377190,0.183462,-2.378390,42.581104,-29.271887,-11.269747
0.666667,-2.671200,-1.135133,0.000000,-2.357559,-1.099600,-0.002199,3.028343,2.027894,-22.242556,0.383325,0.186909,-2.437410,44.274616,-29.952747,-12.092155
0.683333,-2.066856,-1.077739,0.000000,-2.351684,-1.099136,-0.002238,3.049932,2.054044,-22.665838,0.395493,0.192996,-2.498450,46.008884,-30.630377,-12.946064
0.700000,-2.139722,-0.921168,-0.000000,-2.347463,-1.095580,-0.002279,3.063720,2.079711,-23.079712,0.402903,0.197807,-2.559474,47.791420,-31.301077,-13.847439
0.716667,-2.551643,-1.073481,0.000000,-2.351555,-1.095170,-0.002291,3.071150,2.101369,-23.487394,0.410015,0.200602,-2.619493,49.638668,-31.946516,-14.805791
0.733333,-2.383933,-1.118881,0.000000,-2.352172,-1.095608,-0.002317,3.081007,2.124688,-23.890739,0.419756,0.207278,-2.680036,51.537720,-32.572250,-15.805876
0.750000,-1.987900,-0.983237,0.000000,-2.344805,-1.093304,-0.002360,3.095423,2.148203,-24.293520,0.432848,0.215183,-2.741079,53.486282,-33.186359,-16.843960
0.766667,-2.025438,-0.917498,0.000000,-2.338406,-1.089791,-0.002412,3.101204,2.166537,-24.691656,0.441380,0.219578,-2.802800,55.489731,-33.781857,-17.936228
0.783333,-2.883938,-1.242658,0.000000,-2.349355,-1.092862,-0.002467,3.091063,2.179784,-25.078869,0.445243,0.222797,-2.864790,57.565189,-34.329613,-19.100428
0.800000,-2.546697,-1.241817,0.000000,-2.353200,-1.095804,-0.002495,3.091182,2.193926,-25.468990,0.457565,0.228665,-2.925570,59.699318,-34.851013,-20.301323
0.816667,-2.028789,-1.069253,0.000000,-2.346601,-1.095216,-0.002518,3.101700,2.213311,-25.851074,0.472435,0.236460,-2.986016,61.883686,-35.355392,-21.540426
0.833333,-2.569624,-1.065181,0.000000,-2.351100,-1.094659,-0.002555,3.093627,2.226219,-26.223616,0.477359,0.238583,-3.047832,64.128227,-35.819908,-22.847237
0.850000,-2.788530,-1.297026,0.000000,-2.359846,-1.098720,-0.002588,3.081034,2.234599,-26.592655,0.483569,0.241581,-3.108652,66.432877,-36.236492,-24.204971
0.866667,-2.028684,-1.076092,0.000000,-2.353142,-1.098230,-0.002609,3.086388,2.250181,-26.953245,0.497031,0.248344,-3.169031,68.785385,-36.632984,-25.593016
0.883333,-2.110877,-0.893122,0.000000,-2.348276,-1.094130,-0.002625,3.085530,2.265358,-27.304878,0.506895,0.253345,-3.228808,71.189133,-36.992680,-27.030060
