Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.016667,2.404693,0.658122,0.000000,2.404693,0.658122,0.000000,-0.137815,0.268099,0.854897,-0.006299,0.013210,0.054069,2.404693,0.658122,0.000000
0.033333,2.811250,0.747475,0.000000,2.412904,0.659848,0.000011,-0.260523,0.537253,1.713974,-0.006956,0.027682,0.109378,1.544302,0.915951,0.017903
0.050000,2.873467,0.802798,0.000000,2.422095,0.662628,-0.000004,-0.385212,0.802626,2.577881,-0.013239,0.040835,0.163589,0.650745,1.159405,0.028627
0.066667,2.197004,0.526582,0.000000,2.417634,0.659826,0.000008,-0.515676,1.065499,3.443385,-0.017451,0.053572,0.218946,-0.129679,1.462754,0.039161
0.083333,2.477232,0.525713,0.000000,2.418865,0.657084,0.000006,-0.639906,1.330225,4.310371,-0.021108,0.067529,0.273182,-0.955934,1.767926,0.042876
0.100000,2.772451,0.713588,-0.000000,2.425937,0.658135,-0.000020,-0.763654,1.603465,5.176449,-0.026763,0.081114,0.326025,-1.834745,2.050237,0.038513
0.116667,2.411029,0.734140,0.000000,2.425579,0.659535,-0.000005,-0.892752,1.870263,6.049144,-0.036528,0.092108,0.381220,-2.678538,2.326229,0.033495
0.133333,2.223625,0.491693,0.000000,2.421480,0.656058,-0.000016,-1.030146,2.146569,6.916452,-0.047241,0.103518,0.434987,-3.521425,2.636551,0.025192
0.150000,2.623299,0.747230,-0.000000,2.425556,0.657803,-0.000042,-1.147691,2.421079,7.787666,-0.050918,0.117274,0.487730,-4.386478,2.919574,0.006569
0.166667,2.624884,0.837672,0.000000,2.429523,0.661321,-0.000051,-1.265536,2.696359,8.661356,-0.058047,0.131199,0.541585,-5.257134,3.195764,-0.016556
0.183333,2.604451,0.671631,0.000000,2.433001,0.661428,-0.000074,-1.382983,2.968842,9.534707,-0.065365,0.143771,0.594316,-6.131639,3.483495,-0.044253
0.200000,2.318542,0.691879,0.000000,2.430672,0.661958,-0.000095,-1.503230,3.240176,10.409844,-0.074407,0.157418,0.647007,-6.992421,3.770795,-0.075236
0.216667,2.431200,0.761640,0.000000,2.430722,0.663872,-0.000097,-1.611706,3.508590,11.288331,-0.078363,0.171007,0.700935,-7.855474,4.052893,-0.111357
0.233333,2.682801,0.692943,0.000000,2.435783,0.664374,-0.000099,-1.716491,3.781587,12.164331,-0.083165,0.184933,0.754783,-8.739525,4.342957,-0.154098
0.250000,2.535276,0.657819,0.000000,2.437773,0.664123,-0.000102,-1.817235,4.039030,13.046205,-0.089042,0.195716,0.808917,-9.616158,4.628514,-0.199866
0.266667,2.374706,0.726703,0.000000,2.436492,0.665315,-0.000102,-1.918242,4.297151,13.929400,-0.096360,0.209965,0.863023,-10.491399,4.912931,-0.250573
0.283333,2.771111,0.574761,0.000000,2.443204,0.663423,-0.000078,-2.007999,4.554235,14.812565,-0.100611,0.223050,0.918376,-11.387808,5.206510,-0.306934
0.300000,2.895601,0.685477,-0.000000,2.452272,0.663765,-0.000083,-2.091556,4.809348,15.695382,-0.104511,0.235119,0.972549,-12.294965,5.493688,-0.372003
0.316667,2.505785,0.844159,0.000000,2.453262,0.667254,-0.000108,-2.189020,5.069168,16.573196,-0.115454,0.246699,1.025194,-13.205814,5.772375,-0.442000
0.333333,2.460063,0.498779,0.000000,2.453458,0.663785,-0.000110,-2.273178,5.320045,17.453272,-0.118122,0.258606,1.079297,-14.110106,6.071503,-0.513079
0.350000,2.782923,0.664285,0.000000,2.460087,0.663716,-0.000131,-2.350126,5.573184,18.331781,-0.121307,0.272055,1.132179,-15.037061,6.363514,-0.595871
