Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.500000,-2.476971,-1.537772,0.000000,-2.230406,-1.531237,-0.003404,-1.999521,-0.553801,5.063993,-0.779036,-0.399697,1.212066,-13.552319,-42.436695,5.057099
0.516667,-1.808810,-1.368158,-0.000000,-2.221910,-1.528061,-0.003504,-2.029895,-0.566445,5.192431,-0.798158,-0.411105,1.255131,-14.211525,-43.933029,5.517415
0.533333,-2.380202,-1.675530,0.000000,-2.225091,-1.531137,-0.003593,-2.076288,-0.585830,5.320719,-0.826333,-0.426814,1.295831,-14.891431,-45.444172,5.991738
0.550000,-2.445579,-1.439052,0.000000,-2.229457,-1.529381,-0.003674,-2.110206,-0.600535,5.428442,-0.851206,-0.439313,1.336542,-15.587868,-46.968689,6.499190
0.566667,-2.001958,-1.416617,-0.000000,-2.224843,-1.527172,-0.003763,-2.138723,-0.611506,5.542474,-0.871853,-0.448868,1.378845,-16.366240,-48.500767,7.082872
0.583333,-1.790341,-1.541824,-0.000000,-2.216089,-1.527571,-0.003842,-2.164005,-0.627671,5.657801,-0.890752,-0.462908,1.421836,-17.219625,-50.043465,7.739306
0.600000,-2.654193,-1.488241,0.000000,-2.224827,-1.526890,-0.003918,-2.204718,-0.642876,5.766023,-0.918734,-0.476122,1.461551,-18.089193,-51.609417,8.409792
0.616667,-2.304669,-1.565534,0.000000,-2.226321,-1.527729,-0.003998,-2.233592,-0.656842,5.875312,-0.938967,-0.487740,1.502819,-19.048527,-53.178162,9.173247
0.633333,-2.030912,-1.465764,0.000000,-2.222348,-1.526576,-0.004076,-2.257358,-0.670509,5.981191,-0.958962,-0.499921,1.545432,-20.109385,-54.756264,10.037433
0.650000,-2.408570,-1.506285,0.000000,-2.226049,-1.526296,-0.004149,-2.290487,-0.686742,6.084383,-0.984750,-0.514437,1.586397,-21.252869,-56.351437,10.979393
0.666667,-2.560692,-1.561664,0.000000,-2.232718,-1.527088,-0.004185,-2.323951,-0.701447,6.190355,-1.010673,-0.526946,1.629545,-22.503496,-57.950985,12.026848
0.683333,-1.887131,-1.487062,0.000000,-2.225723,-1.526333,-0.004261,-2.343333,-0.712161,6.294335,-1.028239,-0.536561,1.672710,-23.927940,-59.548000,13.249813
0.700000,-2.003160,-1.334927,-0.000000,-2.221267,-1.522611,-0.004339,-2.369643,-0.723465,6.399611,-1.051376,-0.548009,1.715756,-25.515818,-61.153950,14.627038
0.716667,-2.334075,-1.445180,0.000000,-2.223501,-1.521187,-0.004366,-2.401941,-0.737075,6.505693,-1.076627,-0.561170,1.759546,-27.279610,-62.763073,16.176981
0.733333,-2.231977,-1.514802,0.000000,-2.223627,-1.521124,-0.004416,-2.430954,-0.748055,6.612683,-1.099420,-0.571294,1.802693,-29.274221,-64.360657,17.954494
0.750000,-1.871566,-1.389392,0.000000,-2.216501,-1.518516,-0.004494,-2.446451,-0.755398,6.713278,-1.115784,-0.578493,1.846486,-31.551847,-65.941338,20.021177
